Wall time,Step,Value
1502227046.8476706,1,0.1076388880610466
1502227095.7700794,2986,0.8888888955116272
1502227146.312807,6002,0.8958333134651184
1502227195.7287374,9037,0.8784722089767456
1502227245.7834888,12084,0.875
1502227295.855456,15134,0.8680555820465088
1502227345.847342,18184,0.8923611044883728
1502227395.8004498,21235,0.8888888955116272
1502227446.0812342,24268,0.875
1502227495.9021945,27329,0.8923611044883728
1502227545.7138913,30392,0.8819444179534912
1502227596.2807584,33456,0.8854166865348816
1502227646.0760376,36519,0.8819444179534912
1502227695.8054752,39586,0.8854166865348816
1502227697.2884707,39600,0.875
1502227697.8288875,39600,0.8333333134651184
