Wall time,Step,Value
1502227046.8476706,1,2.5426888465881348
1502227095.7700794,2986,0.4801953136920929
1502227146.312807,6002,0.5727056860923767
1502227195.7287374,9037,0.665381908416748
1502227245.7834888,12084,0.739595890045166
1502227295.855456,15134,0.7738766074180603
1502227345.847342,18184,0.9008058905601501
1502227395.8004498,21235,0.9656289219856262
1502227446.0812342,24268,1.0295119285583496
1502227495.9021945,27329,0.8986241817474365
1502227545.7138913,30392,1.230347752571106
1502227596.2807584,33456,1.1018528938293457
1502227646.0760376,36519,1.0854988098144531
1502227695.8054752,39586,1.21541428565979
1502227697.2884707,39600,1.2117589712142944
1502227697.8288875,39600,1.6914726495742798
